CSD Code 2021,CSD Name 2021,Census Population 2021,Income 2021,Education 2021,Housing 2021,Labour Force Activity 2021,CWB 2021,Community Type 2021
1001511,Logy Bay-Middle Cove-Outer Cove,2364,91,76,99,87,88,Non-Indigenous Community
1001512,Bauline,412,85,63,97,82,82,Non-Indigenous Community
1001517,Paradise,22957,85,72,99,89,86,Non-Indigenous Community
1001519,St. John's,110525,83,72,97,83,84,Non-Indigenous Community
1001542,Mount Pearl,22477,81,67,98,84,83,Non-Indigenous Community
1001551,Petty Harbour-Maddox Cove,947,78,63,98,84,81,Non-Indigenous Community
1001557,Bay Bulls,1566,79,65,99,83,81,Non-Indigenous Community
1001559,Witless Bay,1640,84,65,98,84,83,Non-Indigenous Community
1001565,"Division No.  1, Subd. D",119,,,,,83,Non-Indigenous Community
1002001,"Division No.  2, Subd. E",251,,,,,79,Non-Indigenous Community
1002002,Lewin's Cove,546,82,57,98,83,80,Non-Indigenous Community
1002005,Burin,2237,78,53,98,79,77,Non-Indigenous Community
1002006,"Division No.  2, Subd. F",99,,,,,82,Non-Indigenous Community
1002008,St. Lawrence,1115,73,58,96,81,77,Non-Indigenous Community
1002009,"Division No.  2, Subd. G",25,,,,,,Non-Indigenous Community
1002011,Lawn,583,75,51,95,81,75,Non-Indigenous Community
1002012,Lamaline,218,,,,,73,Non-Indigenous Community
1002013,Lord's Cove,155,,,,,68,Non-Indigenous Community
1002014,Point May,254,,,,,67,Non-Indigenous Community
1002015,Point au Gaul,67,,,,,,Non-Indigenous Community
1002016,"Division No.  2, Subd. H",196,,,,,78,Non-Indigenous Community
1002017,Frenchman's Cove,159,,,,,77,Non-Indigenous Community
1002018,Fortune,1285,72,45,95,77,73,Non-Indigenous Community
1002019,Grand Bank,2152,75,48,97,76,74,Non-Indigenous Community
1002021,Garnish,542,77,55,99,80,78,Non-Indigenous Community
1002022,"Division No.  2, Subd. D",204,,,,,81,Non-Indigenous Community
1002023,Winterland,398,81,69,99,78,82,Non-Indigenous Community
1002024,Marystown,5204,74,57,98,75,76,Non-Indigenous Community
1002025,Fox Cove-Mortier,252,77,47,99,79,75,Non-Indigenous Community
1002026,"Division No.  2, Subd. I",123,,,,,67,Non-Indigenous Community
1002027,Bay L'Argent,234,,,,,68,Non-Indigenous Community
1002029,"Division No. 2, Subd. J",0,,,,,,Non-Indigenous Community
1002030,Grand Le Pierre,176,,,,,65,Non-Indigenous Community
1002031,"Division No.  2, Subd. C",538,74,39,97,76,72,Non-Indigenous Community
1002033,Rushoon,229,,,,,72,Non-Indigenous Community
1002034,Parkers Cove,233,,,,,72,Non-Indigenous Community
1002036,Terrenceville,446,78,38,98,67,70,Non-Indigenous Community
1002037,Red Harbour,177,,,,,76,Non-Indigenous Community
1002039,English Harbour East,117,,,,,66,Non-Indigenous Community
1002040,Baine Harbour,126,,,,,78,Non-Indigenous Community
1002041,St. Bernard's-Jacques Fontaine,433,80,44,100,65,72,Non-Indigenous Community
1002044,"Division No. 2, Subd. L",32,,,,,,Non-Indigenous Community
1002048,"Division No.  2, Subd. K",502,73,50,99,73,74,Non-Indigenous Community
1002055,Little Bay East,84,,,,,,Non-Indigenous Community
1003001,"Division No.  3, Subd. A",45,,,,,,Non-Indigenous Community
1003002,Rencontre East,115,,,,,74,Non-Indigenous Community
1003003,St. Jacques-Coomb's Cove,546,70,41,94,80,72,Non-Indigenous Community
1003004,Belleoram,348,60,30,93,74,64,Non-Indigenous Community
1003005,Pool's Cove,143,,,,,66,Non-Indigenous Community
1003006,"Division No. 3, Subd. B",0,,,,,,Non-Indigenous Community
1003008,Harbour Breton,1477,74,46,98,80,75,Non-Indigenous Community
1003009,"Division No.  3, Subd. C",146,,,,,73,Non-Indigenous Community
1003010,Seal Cove (Fortune Bay),100,,,,,72,Non-Indigenous Community
1003011,Hermitage-Sandyville,404,74,39,98,83,74,Non-Indigenous Community
1003012,Gaultois,100,,,,,,Non-Indigenous Community
1003014,"Division No.  3, Subd. D",188,,,,,75,Non-Indigenous Community
1003018,Milltown-Head of Bay d'Espoir,669,77,49,98,76,75,Non-Indigenous Community
1003019,St. Alban's,1189,71,44,96,77,72,Non-Indigenous Community
1003020,Morrisville,93,,,,,80,Non-Indigenous Community
1003021,"Division No.  3, Subd. E",74,,,,,,Non-Indigenous Community
1003024,"Division No.  3, Subd. F",115,,,,,68,Non-Indigenous Community
1003026,Ramea,388,69,36,99,67,68,Non-Indigenous Community
1003028,Burgeo,1176,73,48,97,75,73,Non-Indigenous Community
1003031,"Division No.  3, Subd. H",562,74,43,99,82,74,Non-Indigenous Community
1003032,Isle aux Morts,559,73,45,99,67,71,Non-Indigenous Community
1003033,Burnt Islands,540,77,40,100,73,72,Non-Indigenous Community
1003034,Channel-Port aux Basques,3547,76,53,98,78,76,Non-Indigenous Community
1003038,"Division No.  3, Subd. I",61,,,,,,Non-Indigenous Community
1003042,"Division No.  3, Subd. J",38,,,,,,Non-Indigenous Community
1003045,Rose Blanche-Harbour le Cou,344,71,45,96,68,70,Non-Indigenous Community
1003801,Samiajij Miawpukek,953,72,53,93,69,72,First Nations Community 
1004001,"Division No.  4, Subd. A",1530,74,56,96,73,75,Non-Indigenous Community
