CSD Code 2021,CSD Name 2021,Census Population 2021,Income 2021,Education 2021,Housing 2021,Labour Force Activity 2021,CWB 2021,Community Type 2021
1313014,Rivière-Verte,744,75,52,98,82,77,Non-Indigenous Community
1313015,Rivière-Verte,657,71,42,97,79,72,Non-Indigenous Community
1313018,Saint-Basile,736,73,58,96,79,76,Non-Indigenous Community
1313020,St. Basile 10,369,80,56,98,84,80,First Nations Community 
1313022,Saint-Joseph,1549,77,55,97,84,78,Non-Indigenous Community
1313024,Saint-Jacques,1652,76,56,96,85,78,Non-Indigenous Community
1313027,Edmundston,16437,77,62,96,85,80,Non-Indigenous Community
1313028,Madawaska,0,,,,,,Non-Indigenous Community
1313031,Haut-Madawaska,3720,74,51,96,87,77,Non-Indigenous Community
1313037,Lac Baker,685,82,50,97,82,78,Non-Indigenous Community
1314001,Durham,950,69,41,89,68,67,Non-Indigenous Community
1314003,Colborne,266,,,,,69,Non-Indigenous Community
1314004,Charlo,1323,81,62,98,85,81,Non-Indigenous Community
1314005,Balmoral,309,73,54,86,66,70,Non-Indigenous Community
1314006,Balmoral,1603,77,57,95,84,78,Non-Indigenous Community
1314008,Dalhousie,1090,79,61,98,84,81,Non-Indigenous Community
1314010,Eel River 3,342,70,57,83,75,71,First Nations Community 
1314011,Eel River Crossing,1844,76,53,95,83,76,Non-Indigenous Community
1314012,Addington,698,73,53,94,77,74,Non-Indigenous Community
1314013,Atholville,3290,74,49,97,83,76,Non-Indigenous Community
1314014,Campbellton,7047,73,57,95,81,76,Non-Indigenous Community
1314015,Tide Head,951,81,64,96,85,81,Non-Indigenous Community
1314016,Eldon,674,74,43,95,72,71,Non-Indigenous Community
1314017,Dalhousie,3223,73,59,96,75,76,Non-Indigenous Community
1314020,Kedgwick,1986,73,46,96,79,74,Non-Indigenous Community
1314021,Saint-Quentin,1504,72,49,96,83,75,Non-Indigenous Community
1314022,Saint-Quentin,2141,74,50,97,84,76,Non-Indigenous Community
1314025,Belledune,1325,72,46,94,71,71,Non-Indigenous Community
1314026,Indian Ranch,134,,,,,77,First Nations Community 
1315002,Tracadie,16043,73,47,96,79,74,Non-Indigenous Community
1315006,Allardville,1949,71,47,94,79,73,Non-Indigenous Community
1315008,Bathurst,4761,78,57,97,82,79,Non-Indigenous Community
1315010,Pabineau 11,133,,,,,74,First Nations Community 
1315011,Bathurst,12157,75,59,96,81,78,Non-Indigenous Community
1315012,Beresford,6226,75,55,96,82,77,Non-Indigenous Community
1315013,Pointe-Verte,865,78,51,94,80,76,Non-Indigenous Community
1315014,Petit-Rocher,1954,75,57,98,81,78,Non-Indigenous Community
1315015,Beresford,4294,77,58,96,83,79,Non-Indigenous Community
1315016,New Bandon,1200,75,50,93,78,74,Non-Indigenous Community
1315017,Saint-Léolin,615,68,39,95,71,68,Non-Indigenous Community
1315019,Paquetville,2250,68,36,95,71,68,Non-Indigenous Community
1315020,Paquetville,718,77,54,95,77,76,Non-Indigenous Community
1315021,Saint-Isidore,1312,69,39,95,76,70,Non-Indigenous Community
1315022,Saint-Isidore,810,78,55,95,79,77,Non-Indigenous Community
1315024,Inkerman,2373,74,47,96,80,74,Non-Indigenous Community
1315026,Caraquet,1261,74,53,95,79,75,Non-Indigenous Community
1315027,Bas-Caraquet,1311,74,41,95,79,72,Non-Indigenous Community
1315028,Caraquet,4285,80,63,96,84,81,Non-Indigenous Community
1315029,Shippagan,4781,74,40,95,82,73,Non-Indigenous Community
1315030,Le Goulet,749,75,44,96,82,74,Non-Indigenous Community
1315031,Shippagan,2672,77,59,96,84,79,Non-Indigenous Community
1315032,Lamèque,1301,74,46,97,84,75,Non-Indigenous Community
1315033,Sainte-Marie-Saint-Raphaël,820,75,35,97,76,71,Non-Indigenous Community
1315036,Bertrand,1153,73,51,94,80,75,Non-Indigenous Community
1315037,Nigadoo,997,74,54,97,80,76,Non-Indigenous Community
1315038,Grande-Anse,731,73,51,97,80,75,Non-Indigenous Community
1315040,Maisonnette,535,71,49,96,85,75,Non-Indigenous Community
2401023,Les Îles-de-la-Madeleine,12190,81,53,95,86,79,Non-Indigenous Community
2401042,Grosse-Île,464,87,43,94,79,76,Non-Indigenous Community
2402005,Percé,3095,75,46,94,76,73,Non-Indigenous Community
2402010,Sainte-Thérèse-de-Gaspé,979,79,45,95,86,76,Non-Indigenous Community
2402015,Grande-Rivière,3384,75,45,96,80,74,Non-Indigenous Community
2402028,Chandler,7490,76,50,95,84,76,Non-Indigenous Community
2402047,Port-Daniel--Gascons,2271,75,43,96,82,74,Non-Indigenous Community
2402902,Mont-Alexandre,0,,,,,,Non-Indigenous Community
2403005,Gaspé,15063,79,58,96,85,79,Non-Indigenous Community
2403010,Cloridorme,607,73,41,98,83,74,Non-Indigenous Community
2403015,Petite-Vallée,157,,,,,77,Non-Indigenous Community
2403020,Grande-Vallée,1077,77,48,96,85,76,Non-Indigenous Community
2403025,Murdochville,643,75,53,94,85,77,Non-Indigenous Community
2403902,Rivière-Saint-Jean,0,,,,,,Non-Indigenous Community
2403904,Collines-du-Basque,0,,,,,,Non-Indigenous Community
2404005,Sainte-Madeleine-de-la-Rivière-Madeleine,289,74,57,89,70,72,Non-Indigenous Community
2404010,Saint-Maxime-du-Mont-Louis,1047,70,46,94,73,71,Non-Indigenous Community
2404015,Mont-Saint-Pierre,186,,,,,74,Non-Indigenous Community
2404020,Rivière-à-Claude,141,,,,,59,Non-Indigenous Community
2404025,Marsoui,289,70,44,92,78,71,Non-Indigenous Community
2404030,La Martre,194,,,,,75,Non-Indigenous Community
2404037,Sainte-Anne-des-Monts,6121,75,50,96,80,75,Non-Indigenous Community
2404047,Cap-Chat,2516,72,51,96,78,74,Non-Indigenous Community
2404902,Mont-Albert,167,,,,,72,Non-Indigenous Community
2404904,Coulée-des-Adolphe,0,,,,,,Non-Indigenous Community
2405010,Shigawake,333,73,48,95,88,76,Non-Indigenous Community
2405015,Saint-Godefroi,350,72,45,91,76,71,Non-Indigenous Community
2405020,Hope Town,334,69,53,96,72,73,Non-Indigenous Community
2405025,Hope,584,76,51,95,82,76,Non-Indigenous Community
2405032,Paspébiac,3033,77,52,97,82,77,Non-Indigenous Community
2405040,New Carlisle,1336,71,54,96,75,74,Non-Indigenous Community
2405045,Bonaventure,2733,78,63,96,85,80,Non-Indigenous Community
2405050,Saint-Elzéar,464,74,42,95,86,74,Non-Indigenous Community
2405055,Saint-Siméon,1207,77,59,97,88,80,Non-Indigenous Community
2405060,Caplan,1966,75,56,96,84,78,Non-Indigenous Community
2405065,Saint-Alphonse,711,73,56,99,80,77,Non-Indigenous Community
2405070,New Richmond,3683,77,58,95,84,78,Non-Indigenous Community
2405077,Cascapédia--Saint-Jules,764,73,54,95,82,76,Non-Indigenous Community
2405902,Rivière-Bonaventure,59,,,,,,Non-Indigenous Community
2406005,Maria,2760,81,64,97,88,82,Non-Indigenous Community
2406013,Carleton-sur-Mer,4081,77,63,97,85,81,Non-Indigenous Community
2406020,Nouvelle,1782,76,57,97,84,78,Non-Indigenous Community
2406025,Escuminac,575,75,51,90,72,72,Non-Indigenous Community
2406030,Pointe-à-la-Croix,1344,72,48,96,78,74,Non-Indigenous Community
2406035,Ristigouche-Partie-Sud-Est,170,,,,,71,Non-Indigenous Community
2406040,Saint-André-de-Restigouche,154,,,,,74,Non-Indigenous Community
2406045,Matapédia,566,75,51,95,79,75,Non-Indigenous Community
2406050,Saint-Alexis-de-Matapédia,519,70,54,95,78,74,Non-Indigenous Community
2406055,Saint-François-d'Assise,679,70,34,93,81,69,Non-Indigenous Community
2406060,L'Ascension-de-Patapédia,148,,,,,69,Non-Indigenous Community
2406802,Gesgapegiag,637,69,48,85,87,72,First Nations Community 
2406804,Listuguj,,,,,,,First Nations Community 
2406902,Rivière-Nouvelle,0,,,,,,Non-Indigenous Community
2406904,Ruisseau-Ferguson,0,,,,,,Non-Indigenous Community
2407005,Sainte-Marguerite-Marie,183,,,,,76,Non-Indigenous Community
2407010,Sainte-Florence,367,70,37,96,75,69,Non-Indigenous Community
2407018,Causapscal,2147,74,51,96,83,76,Non-Indigenous Community
2407025,Albertville,239,,,,,73,Non-Indigenous Community
2407030,Saint-Léon-le-Grand,968,71,52,97,84,76,Non-Indigenous Community
2407035,Saint-Zénon-du-Lac-Humqui,370,71,46,93,77,72,Non-Indigenous Community
2407040,Sainte-Irène,369,77,68,94,85,81,Non-Indigenous Community
2407047,Amqui,5999,76,58,97,86,79,Non-Indigenous Community
2407057,Lac-au-Saumon,1488,74,54,95,87,77,Non-Indigenous Community
2407065,Saint-Alexandre-des-Lacs,298,71,47,98,75,73,Non-Indigenous Community
2407070,Saint-Tharcisius,411,66,41,96,80,71,Non-Indigenous Community
2407075,Saint-Vianney,446,74,42,99,82,74,Non-Indigenous Community
2407080,Val-Brillant,899,77,63,94,81,79,Non-Indigenous Community
2407085,Sayabec,1706,72,51,98,84,76,Non-Indigenous Community
2407090,Saint-Cléophas,321,67,45,91,66,67,Non-Indigenous Community
2407095,Saint-Moïse,542,71,49,92,83,74,Non-Indigenous Community
2407100,Saint-Noël,392,74,44,95,86,75,Non-Indigenous Community
2407105,Saint-Damase,382,70,51,95,89,76,Non-Indigenous Community
2407902,Routhierville,20,,,,,,Non-Indigenous Community
2407904,Rivière-Vaseuse,0,,,,,,Non-Indigenous Community
2407906,Rivière-Patapédia-Est,0,,,,,,Non-Indigenous Community
2407908,Lac-Casault,30,,,,,,Non-Indigenous Community
2407910,Ruisseau-des-Mineurs,5,,,,,,Non-Indigenous Community
2407912,Lac-Alfred,0,,,,,,Non-Indigenous Community
2407914,Lac-Matapédia,10,,,,,,Non-Indigenous Community
2408005,Les Méchins,995,71,42,94,76,71,Non-Indigenous Community
2408010,Saint-Jean-de-Cherbourg,163,,,,,64,Non-Indigenous Community
2408015,Grosses-Roches,375,70,42,92,74,69,Non-Indigenous Community
2408023,Sainte-Félicité,1100,73,47,96,83,75,Non-Indigenous Community
2408030,Saint-Adelme,484,77,52,94,81,76,Non-Indigenous Community
2408035,Saint-René-de-Matane,961,76,47,89,82,73,Non-Indigenous Community
2408040,Sainte-Paule,247,,,,,80,Non-Indigenous Community
2408053,Matane,13987,77,56,96,86,79,Non-Indigenous Community
2408065,Saint-Léandre,375,71,52,96,77,74,Non-Indigenous Community
2408073,Saint-Ulric,1567,78,58,97,87,80,Non-Indigenous Community
2408080,Baie-des-Sables,613,75,60,92,82,77,Non-Indigenous Community
2408902,Rivière-Bonjour,16,,,,,,Non-Indigenous Community
2409005,La Rédemption,384,66,34,94,74,67,Non-Indigenous Community
2409010,Saint-Charles-Garnier,222,,,,,66,Non-Indigenous Community
2409015,Les Hauteurs,485,64,48,94,76,71,Non-Indigenous Community
2409020,Sainte-Jeanne-d'Arc,217,,,,,78,Non-Indigenous Community
2409025,Saint-Gabriel-de-Rimouski,1177,73,56,94,87,77,Non-Indigenous Community
2409030,Saint-Donat,835,76,61,92,91,80,Non-Indigenous Community
2409035,Sainte-Angèle-de-Mérici,989,71,49,93,80,73,Non-Indigenous Community
2409040,Padoue,250,,,,,74,Non-Indigenous Community
2409048,Métis-sur-Mer,594,75,60,92,76,76,Non-Indigenous Community
2409055,Saint-Octave-de-Métis,493,71,55,94,79,75,Non-Indigenous Community
2409060,Grand-Métis,218,,,,,77,Non-Indigenous Community
2409065,Price,1729,71,50,95,85,75,Non-Indigenous Community
2409070,Saint-Joseph-de-Lepage,590,92,62,98,88,85,Non-Indigenous Community
2409077,Mont-Joli,6384,73,52,96,81,76,Non-Indigenous Community
2409085,Sainte-Flavie,904,76,64,96,87,81,Non-Indigenous Community
2409092,Sainte-Luce,2845,79,63,97,88,82,Non-Indigenous Community
2409902,Lac-des-Eaux-Mortes,47,,,,,,Non-Indigenous Community
2409904,Lac-à-la-Croix,0,,,,,,Non-Indigenous Community
2410005,Esprit-Saint,340,68,41,96,72,69,Non-Indigenous Community
2410010,La Trinité-des-Monts,233,,,,,71,Non-Indigenous Community
2410015,Saint-Narcisse-de-Rimouski,1084,74,54,95,85,77,Non-Indigenous Community
2410025,Saint-Marcellin,397,77,51,95,81,76,Non-Indigenous Community
2410030,Saint-Anaclet-de-Lessard,3019,78,64,99,92,83,Non-Indigenous Community
2410043,Rimouski,48935,79,68,97,87,83,Non-Indigenous Community
2410060,Saint-Valérien,906,74,56,93,86,77,Non-Indigenous Community
2410070,Saint-Fabien,1834,74,55,94,82,76,Non-Indigenous Community
2410075,Saint-Eugène-de-Ladrière,413,72,53,95,86,77,Non-Indigenous Community
2410902,Lac-Huron,30,,,,,,Non-Indigenous Community
2411005,Saint-Clément,479,70,58,91,91,77,Non-Indigenous Community
2411010,Saint-Jean-de-Dieu,1651,67,49,95,86,74,Non-Indigenous Community
2411015,Sainte-Rita,303,73,48,96,78,74,Non-Indigenous Community
2411020,Saint-Guy,76,,,,,66,Non-Indigenous Community
2411025,Saint-Médard,216,,,,,76,Non-Indigenous Community
2411030,Sainte-Françoise,383,70,52,95,87,76,Non-Indigenous Community
2411035,Saint-Éloi,310,76,58,98,88,80,Non-Indigenous Community
2411040,Trois-Pistoles,3115,76,56,96,85,78,Non-Indigenous Community
2411045,Notre-Dame-des-Neiges,1194,78,63,94,88,81,Non-Indigenous Community
2411050,Saint-Mathieu-de-Rioux,691,82,65,94,88,82,Non-Indigenous Community
2411055,Saint-Simon-de-Rimouski,455,78,60,98,79,79,Non-Indigenous Community
2411902,Lac-Boisbouscache,0,,,,,,Non-Indigenous Community
2412005,Saint-Cyprien,1078,75,55,95,91,79,Non-Indigenous Community
2412010,Saint-Hubert-de-Rivière-du-Loup,1412,74,54,94,85,77,Non-Indigenous Community
2412015,Saint-Antonin,4338,77,57,98,93,81,Non-Indigenous Community
2412020,Saint-Modeste,1180,73,59,97,91,80,Non-Indigenous Community
2412025,Saint-François-Xavier-de-Viger,247,,,,,76,Non-Indigenous Community
2412030,Saint-Épiphane,836,71,50,96,86,76,Non-Indigenous Community
2412035,Saint-Paul-de-la-Croix,313,73,54,92,83,76,Non-Indigenous Community
2412043,L'Isle-Verte,1356,73,59,96,88,79,Non-Indigenous Community
2412045,Notre-Dame-des-Sept-Douleurs,71,,,,,84,Non-Indigenous Community
2412057,Cacouna,1848,77,64,95,89,81,Non-Indigenous Community
2412065,Saint-Arsène,1245,73,61,96,90,80,Non-Indigenous Community
2412072,Rivière-du-Loup,20118,80,62,97,88,82,Non-Indigenous Community
2412080,Notre-Dame-du-Portage,1296,89,74,98,89,88,Non-Indigenous Community
2413005,Dégelis,2884,74,50,97,85,77,Non-Indigenous Community
2413010,Saint-Jean-de-la-Lande,232,,,,,72,Non-Indigenous Community
2413015,Packington,578,71,44,95,88,74,Non-Indigenous Community
2413020,Saint-Marc-du-Lac-Long,365,73,49,99,89,77,Non-Indigenous Community
2413025,Rivière-Bleue,1261,69,43,97,74,71,Non-Indigenous Community
2413030,Saint-Eusèbe,587,73,53,86,86,75,Non-Indigenous Community
2413040,Saint-Juste-du-Lac,543,70,54,95,78,74,Non-Indigenous Community
2413045,Auclair,447,70,55,96,85,77,Non-Indigenous Community
2413050,Lejeune,246,,,,,71,Non-Indigenous Community
2413055,Biencourt,433,74,49,99,86,77,Non-Indigenous Community
2413060,Lac-des-Aigles,495,67,50,96,74,72,Non-Indigenous Community
2413065,Saint-Michel-du-Squatec,1076,75,50,99,83,77,Non-Indigenous Community
2413073,Témiscouata-sur-le-Lac,5054,78,58,96,86,79,Non-Indigenous Community
2413075,Saint-Pierre-de-Lamy,122,,,,,76,Non-Indigenous Community
2413080,Saint-Louis-du-Ha! Ha!,1311,75,56,98,87,79,Non-Indigenous Community
2413085,Saint-Elzéar-de-Témiscouata,311,74,41,91,85,73,Non-Indigenous Community
2413090,Saint-Honoré-de-Témiscouata,763,70,40,95,87,73,Non-Indigenous Community
2413095,Pohénégamook,2481,77,54,95,82,77,Non-Indigenous Community
2413100,Saint-Athanase,303,71,39,93,84,72,Non-Indigenous Community
2414005,Mont-Carmel,1160,73,52,99,83,77,Non-Indigenous Community
2414010,Saint-Bruno-de-Kamouraska,515,75,53,96,87,78,Non-Indigenous Community
2414018,Saint-Pascal,3530,75,57,97,88,79,Non-Indigenous Community
2414025,Sainte-Hélène-de-Kamouraska,891,73,51,93,92,77,Non-Indigenous Community
2414030,Saint-Joseph-de-Kamouraska,398,72,54,93,91,77,Non-Indigenous Community
2414035,Saint-Alexandre-de-Kamouraska,2255,75,57,96,91,80,Non-Indigenous Community
2414040,Saint-André-de-Kamouraska,658,77,67,97,90,83,Non-Indigenous Community
2414045,Saint-Germain,294,80,59,94,97,83,Non-Indigenous Community
2414050,Kamouraska,607,74,60,99,90,81,Non-Indigenous Community
2414055,Saint-Denis-De La Bouteillerie,518,78,62,91,85,79,Non-Indigenous Community
2414060,Saint-Philippe-de-Néri,818,70,50,94,87,75,Non-Indigenous Community
2414065,Rivière-Ouelle,995,79,62,95,85,80,Non-Indigenous Community
2414070,Saint-Pacôme,1806,75,53,98,86,78,Non-Indigenous Community
2414075,Saint-Gabriel-Lalemant,660,76,49,96,86,77,Non-Indigenous Community
2414080,Saint-Onésime-d'Ixworth,522,73,49,97,83,76,Non-Indigenous Community
2414085,La Pocatière,4078,76,62,97,88,81,Non-Indigenous Community
2414090,Sainte-Anne-de-la-Pocatière,1597,79,57,97,88,80,Non-Indigenous Community
2414902,Picard,5,,,,,,Non-Indigenous Community
2414904,Petit-Lac-Sainte-Anne,0,,,,,,Non-Indigenous Community
2415005,Saint-Irénée,678,91,70,96,84,85,Non-Indigenous Community
2415013,La Malbaie,8235,76,58,97,85,79,Non-Indigenous Community
2415025,Notre-Dame-des-Monts,789,75,51,97,86,77,Non-Indigenous Community
2415030,Saint-Aimé-des-Lacs,1158,78,58,96,85,79,Non-Indigenous Community
2415035,Clermont,3065,76,55,98,87,79,Non-Indigenous Community
2415058,Saint-Siméon,1139,74,51,98,82,76,Non-Indigenous Community
2415065,Baie-Sainte-Catherine,184,,,,,70,Non-Indigenous Community
2415902,Mont-Élie,51,,,,,,Non-Indigenous Community
2415904,Sagard,110,,,,,66,Non-Indigenous Community
2416005,Petite-Rivière-Saint-François,953,85,62,98,85,83,Non-Indigenous Community
2416013,Baie-Saint-Paul,7371,78,61,96,87,81,Non-Indigenous Community
2416023,L'Isle-aux-Coudres,1116,78,55,98,82,78,Non-Indigenous Community
2416048,Les Éboulements,1465,81,63,96,91,83,Non-Indigenous Community
2416050,Saint-Hilarion,1146,74,51,96,90,78,Non-Indigenous Community
2416055,Saint-Urbain,1320,76,57,96,87,79,Non-Indigenous Community
2416902,Lac-Pikauba,0,,,,,,Non-Indigenous Community
2417005,Saint-Omer,294,74,47,95,87,76,Non-Indigenous Community
2417010,Saint-Pamphile,2274,75,43,98,91,77,Non-Indigenous Community
2417015,Saint-Adalbert,460,72,43,91,86,73,Non-Indigenous Community
2417020,Saint-Marcel,422,75,47,93,88,76,Non-Indigenous Community
2417025,Sainte-Félicité,350,69,35,95,89,72,Non-Indigenous Community
2417030,Sainte-Perpétue,1715,71,41,95,84,73,Non-Indigenous Community
2417035,Tourville,576,70,41,96,87,74,Non-Indigenous Community
2417040,Saint-Damase-de-L'Islet,563,74,50,96,85,76,Non-Indigenous Community
2417045,Saint-Cyrille-de-Lessard,742,72,53,97,80,76,Non-Indigenous Community
2417055,Saint-Aubert,1441,76,55,93,91,79,Non-Indigenous Community
2417060,Sainte-Louise,674,73,57,99,87,79,Non-Indigenous Community
2417065,Saint-Roch-des-Aulnaies,955,76,66,95,87,81,Non-Indigenous Community
2417070,Saint-Jean-Port-Joli,3329,76,63,97,89,81,Non-Indigenous Community
2417078,L'Islet,3803,77,56,96,88,79,Non-Indigenous Community
2418005,Saint-Just-de-Bretenières,639,70,39,97,81,72,Non-Indigenous Community
2418010,Lac-Frontière,175,,,,,69,Non-Indigenous Community
2418015,Saint-Fabien-de-Panet,945,71,49,95,81,74,Non-Indigenous Community
2418020,Sainte-Lucie-de-Beauregard,275,71,45,94,78,72,Non-Indigenous Community
2418025,Sainte-Apolline-de-Patton,505,68,45,91,86,72,Non-Indigenous Community
2418030,Saint-Paul-de-Montminy,849,71,50,95,83,75,Non-Indigenous Community
2418035,Sainte-Euphémie-sur-Rivière-du-Sud,338,73,47,92,82,73,Non-Indigenous Community
2418040,Notre-Dame-du-Rosaire,371,75,49,88,82,74,Non-Indigenous Community
2418045,Cap-Saint-Ignace,3099,76,55,98,90,79,Non-Indigenous Community
2418050,Montmagny,10999,77,55,96,88,79,Non-Indigenous Community
2418055,Saint-Pierre-de-la-Rivière-du-Sud,840,76,57,97,96,81,Non-Indigenous Community
2418060,Saint-François-de-la-Rivière-du-Sud,1580,75,54,96,90,79,Non-Indigenous Community
2418065,Berthier-sur-Mer,1744,80,66,97,89,83,Non-Indigenous Community
2418070,Saint-Antoine-de-l'Isle-aux-Grues,122,,,,,82,Non-Indigenous Community
2419005,Saint-Philémon,680,71,45,98,80,74,Non-Indigenous Community
2419010,Notre-Dame-Auxiliatrice-de-Buckland,767,76,50,95,86,77,Non-Indigenous Community
2419015,Saint-Nazaire-de-Dorchester,338,75,41,95,88,75,Non-Indigenous Community
2419020,Saint-Léon-de-Standon,1042,73,48,94,84,75,Non-Indigenous Community
2419025,Saint-Malachie,1667,75,54,97,91,79,Non-Indigenous Community
2419030,Saint-Damien-de-Buckland,1893,74,56,97,87,78,Non-Indigenous Community
2419037,Armagh,1439,69,49,95,82,74,Non-Indigenous Community
2419045,Saint-Nérée-de-Bellechasse,744,75,54,97,88,78,Non-Indigenous Community
2419050,Saint-Lazare-de-Bellechasse,1332,73,58,96,92,80,Non-Indigenous Community
2419055,Sainte-Claire,3526,78,59,98,91,81,Non-Indigenous Community
2419062,Saint-Anselme,4047,77,60,98,91,82,Non-Indigenous Community
2419068,Saint-Henri,5813,78,61,99,95,83,Non-Indigenous Community
2419070,Honfleur,881,75,57,98,89,80,Non-Indigenous Community
2419075,Saint-Gervais,2138,77,59,99,91,81,Non-Indigenous Community
2419082,Saint-Raphaël,2458,75,53,96,88,78,Non-Indigenous Community
2419090,La Durantaye,782,76,55,97,88,79,Non-Indigenous Community
2419097,Saint-Charles-de-Bellechasse,2583,77,62,98,93,82,Non-Indigenous Community
2419105,Beaumont,2968,83,68,99,93,86,Non-Indigenous Community
2419110,Saint-Michel-de-Bellechasse,1871,81,70,96,88,84,Non-Indigenous Community
2419117,Saint-Vallier,1031,78,68,96,92,83,Non-Indigenous Community
2420005,Saint-François-de-l'Île-d'Orléans,536,84,69,95,88,84,Non-Indigenous Community
2420010,Sainte-Famille-de-l'Île-d'Orléans,850,83,61,98,89,83,Non-Indigenous Community
2420015,Saint-Jean-de-l'Île-d'Orléans,1026,81,71,94,89,84,Non-Indigenous Community
2420020,Saint-Laurent-de-l'Île-d'Orléans,1607,86,72,95,90,86,Non-Indigenous Community
2420025,Saint-Pierre-de-l'Île-d'Orléans,1743,82,64,96,89,83,Non-Indigenous Community
2420030,Sainte-Pétronille,1055,88,74,98,89,87,Non-Indigenous Community
2421005,Saint-Tite-des-Caps,1504,75,51,96,82,76,Non-Indigenous Community
2421010,Saint-Ferréol-les-Neiges,3806,87,69,97,89,85,Non-Indigenous Community
2421015,Saint-Louis-de-Gonzague-du-Cap-Tourmente,0,,,,,,Non-Indigenous Community
2421020,Saint-Joachim,1427,76,57,98,88,79,Non-Indigenous Community
2421025,Beaupré,4117,82,64,96,88,83,Non-Indigenous Community
2421030,Sainte-Anne-de-Beaupré,2888,76,54,95,85,77,Non-Indigenous Community
2421035,Château-Richer,4425,78,61,96,90,81,Non-Indigenous Community
2421040,L'Ange-Gardien,3842,81,68,98,90,84,Non-Indigenous Community
2421045,Boischatel,8231,87,74,98,92,88,Non-Indigenous Community
2421902,Sault-au-Cochon,0,,,,,,Non-Indigenous Community
2421904,Lac-Jacques-Cartier,0,,,,,,Non-Indigenous Community
2422005,Sainte-Catherine-de-la-Jacques-Cartier,8442,80,65,97,91,83,Non-Indigenous Community
2422010,Fossambault-sur-le-Lac,2327,90,70,97,89,86,Non-Indigenous Community
2422015,Lac-Saint-Joseph,304,100,88,100,76,91,Non-Indigenous Community
2422020,Shannon,6432,82,68,97,91,84,Non-Indigenous Community
2422025,Saint-Gabriel-de-Valcartier,3223,81,66,98,91,84,Non-Indigenous Community
2422030,Lac-Delage,771,84,82,97,91,88,Non-Indigenous Community
2422035,Stoneham-et-Tewkesbury,9682,83,70,97,93,86,Non-Indigenous Community
2422040,Lac-Beauport,8164,91,80,97,92,90,Non-Indigenous Community
2422045,Sainte-Brigitte-de-Laval,8468,80,68,98,93,85,Non-Indigenous Community
2422902,Lac-Croche,0,,,,,,Non-Indigenous Community
2423015,Notre-Dame-des-Anges,241,,,,,,Non-Indigenous Community
2423027,Québec,549459,81,71,96,89,84,Non-Indigenous Community
2423057,L'Ancienne-Lorette,16970,83,71,97,92,86,Non-Indigenous Community
2423072,Saint-Augustin-de-Desmaures,19907,89,77,98,90,89,Non-Indigenous Community
2423802,Wendake,2200,78,64,97,88,82,First Nations Community 
2425213,Lévis,149683,83,69,98,91,85,Non-Indigenous Community
2426005,Frampton,1309,79,55,94,90,79,Non-Indigenous Community
2426010,Saints-Anges,1239,75,58,99,93,81,Non-Indigenous Community
2426015,Vallée-Jonction,1864,76,59,97,93,81,Non-Indigenous Community
2426022,Saint-Elzéar,2623,76,61,98,95,82,Non-Indigenous Community
2426030,Sainte-Marie,13134,79,63,98,92,83,Non-Indigenous Community
2426035,Sainte-Marguerite,1175,74,58,96,94,81,Non-Indigenous Community
2426040,Sainte-Hénédine,1440,74,61,96,91,80,Non-Indigenous Community
2426048,Scott,2566,78,61,98,92,82,Non-Indigenous Community
2426055,Saint-Bernard,2535,76,54,98,94,80,Non-Indigenous Community
2426063,Saint-Isidore,3286,77,60,97,93,82,Non-Indigenous Community
2426070,Saint-Lambert-de-Lauzon,6817,80,66,98,92,84,Non-Indigenous Community
2427008,Saint-Victor,2313,74,51,98,91,78,Non-Indigenous Community
2427015,Saint-Alfred,519,74,59,94,92,80,Non-Indigenous Community
2427028,Beauceville,6185,76,56,97,91,80,Non-Indigenous Community
2427035,Saint-Odilon-de-Cranbourne,1407,72,52,97,90,78,Non-Indigenous Community
2427043,Saint-Joseph-de-Beauce,5014,77,60,98,91,81,Non-Indigenous Community
2427050,Saint-Joseph-des-Érables,377,75,54,98,95,80,Non-Indigenous Community
2427055,Saint-Jules,547,72,50,95,92,77,Non-Indigenous Community
2427060,Tring-Jonction,1526,74,49,98,90,78,Non-Indigenous Community
2427065,Saint-Frédéric,1065,74,58,96,91,80,Non-Indigenous Community
2427070,Saint-Séverin,300,68,51,93,90,75,Non-Indigenous Community
2428005,Saint-Zacharie,1684,73,42,96,84,74,Non-Indigenous Community
2428015,Sainte-Aurélie,856,81,50,93,87,78,Non-Indigenous Community
2428020,Saint-Prosper,3596,74,52,99,88,78,Non-Indigenous Community
2428025,Saint-Benjamin,1090,71,55,93,88,77,Non-Indigenous Community
2428030,Sainte-Rose-de-Watford,740,77,56,96,86,79,Non-Indigenous Community
2428035,Saint-Louis-de-Gonzague,390,74,47,96,89,76,Non-Indigenous Community
2428040,Saint-Cyprien,474,72,41,98,81,73,Non-Indigenous Community
2428045,Sainte-Justine,1828,73,54,97,90,79,Non-Indigenous Community
2428053,Lac-Etchemin,4028,76,54,97,87,79,Non-Indigenous Community
2428060,Saint-Luc-de-Bellechasse,449,73,38,97,83,73,Non-Indigenous Community
2428065,Sainte-Sabine,343,73,53,98,88,78,Non-Indigenous Community
2428070,Saint-Camille-de-Lellis,737,72,46,96,84,74,Non-Indigenous Community
2428075,Saint-Magloire,712,69,42,96,77,71,Non-Indigenous Community
2429005,Saint-Théophile,702,72,43,94,91,75,Non-Indigenous Community
